,place,extraction_dt,car_group,start_date,end_date,start_time,end_time,cars,prices
0,CGH,2021-10-27 20:21:29.284320,GRUPO AX - MOVIDA ON,01/11/2021,20/11/2021,08:00,08:00, Mobi Like ou similar ,211.56
1,CGH,2021-10-27 20:21:29.284320,GRUPO B - ECONÔMICO,01/11/2021,20/11/2021,08:00,08:00," Uno, Onix, Gol, Argo, ou similar ",233.43
2,CGH,2021-10-27 20:21:29.284320,GRUPO BS - ECONÔMICO SEDAN,01/11/2021,20/11/2021,08:00,08:00," Logan, Versa, Onix Plus ou Similar ",253.13
3,CGH,2021-10-27 20:21:29.284320,GRUPO BX - ECONÔMICO PLUS,01/11/2021,20/11/2021,08:00,08:00, HB20 ou Similar ,235.17
4,CGH,2021-10-27 20:21:29.284320,GRUPO C - COMPACTO,01/11/2021,20/11/2021,08:00,08:00," Gol, Sandero, 208, HB20, ou similar ",251.68
5,CGH,2021-10-27 20:21:29.284320,GRUPO D - HATCH AUTOMÁTICO,01/11/2021,20/11/2021,08:00,08:00," HB20, Polo, Sandero, ou similar ",264.66
6,CGH,2021-10-27 20:21:29.284320,GRUPO F - SEDAN COMPACTO S,01/11/2021,20/11/2021,08:00,08:00," Voyage, Virtus, KA+, ou similar ",263.52
7,CGH,2021-10-27 20:21:29.284320,GRUPO FX - SEDAN AUTOMÁTICO,01/11/2021,20/11/2021,08:00,08:00," HB20S, Versa, Onix ou Similar ",300.27
8,CGH,2021-10-27 20:21:29.284320,GRUPO G - SUV MANUAL,01/11/2021,20/11/2021,08:00,08:00, Duster ou similar ,325.4
9,CGH,2021-10-27 20:21:29.284320,GRUPO H - SUV AUTOMÁTICA,01/11/2021,20/11/2021,08:00,08:00," C4, 2008, Duster ou similar ",329.72
10,CGH,2021-10-27 20:21:29.284320,GRUPO HN - NOVO NISSAN KICKS,01/11/2021,20/11/2021,08:00,08:00, Novo Nissan Kicks ou similar ,463.79
11,CGH,2021-10-27 20:21:29.284320,GRUPO HW - SUV AUTOMÁTICA INTERMEDIÁRIA,01/11/2021,20/11/2021,08:00,08:00," Renegade, Nivus, T-cross 1.0 TSI ou Similar ",347.91
12,CGH,2021-10-27 20:21:29.284320,GRUPO JC - MOVIDA CARGO,01/11/2021,20/11/2021,08:00,08:00," Doblo Cargo, ou similar ",463.12
13,CGH,2021-10-27 20:21:29.284320,GRUPO MJ - FURGÃO PREMIUM,01/11/2021,20/11/2021,08:00,08:00," Expert, Jumpy ou Similar ",529.23
14,CGH,2021-10-27 20:21:29.284320,GRUPO MR - FURGÃO PREMIUM,01/11/2021,20/11/2021,08:00,08:00," Boxer, Jumper ou Similar ",531.86
15,CGH,2021-10-27 20:21:29.284320,GRUPO QX - EXECUTIVO AUTOMÁTICO,01/11/2021,20/11/2021,08:00,08:00," Cruze sedan/Hatch, Jetta, Corolla, e Similar ",524.41
16,CGH,2021-10-27 20:21:29.284320,GRUPO SX - CAMINHONETE 4X4,01/11/2021,20/11/2021,08:00,08:00, Toro ou Similar (Mec e Aut) ,988.41
17,CGH,2021-10-27 20:21:20.475353,GRUPO AX - MOVIDA ON,02/11/2021,21/11/2021,08:00,08:00, Mobi Like ou similar ,135.21
18,CGH,2021-10-27 20:21:20.475353,GRUPO B - ECONÔMICO,02/11/2021,21/11/2021,08:00,08:00," Uno, Onix, Gol, Argo, ou similar ",154.35
19,CGH,2021-10-27 20:21:20.475353,GRUPO BS - ECONÔMICO SEDAN,02/11/2021,21/11/2021,08:00,08:00," Logan, Versa, Onix Plus ou Similar ",169.06
20,CGH,2021-10-27 20:21:20.475353,GRUPO BX - ECONÔMICO PLUS,02/11/2021,21/11/2021,08:00,08:00, HB20 ou Similar ,156.07
21,CGH,2021-10-27 20:21:20.475353,GRUPO C - COMPACTO,02/11/2021,21/11/2021,08:00,08:00," Gol, Sandero, 208, HB20, ou similar ",172.58
22,CGH,2021-10-27 20:21:20.475353,GRUPO D - HATCH AUTOMÁTICO,02/11/2021,21/11/2021,08:00,08:00," HB20, Polo, Sandero, ou similar ",179.51
23,CGH,2021-10-27 20:21:20.475353,GRUPO F - SEDAN COMPACTO S,02/11/2021,21/11/2021,08:00,08:00," Voyage, Virtus, KA+, ou similar ",183.52
24,CGH,2021-10-27 20:21:20.475353,GRUPO FX - SEDAN AUTOMÁTICO,02/11/2021,21/11/2021,08:00,08:00," HB20S, Versa, Onix ou Similar ",216.63
25,CGH,2021-10-27 20:21:20.475353,GRUPO G - SUV MANUAL,02/11/2021,21/11/2021,08:00,08:00, Duster ou similar ,232.22
26,CGH,2021-10-27 20:21:20.475353,GRUPO H - SUV AUTOMÁTICA,02/11/2021,21/11/2021,08:00,08:00," C4, 2008, Duster ou similar ",236.55
27,CGH,2021-10-27 20:21:20.475353,GRUPO HN - NOVO NISSAN KICKS,02/11/2021,21/11/2021,08:00,08:00, Novo Nissan Kicks ou similar ,357.34
28,CGH,2021-10-27 20:21:20.475353,GRUPO HW - SUV AUTOMÁTICA INTERMEDIÁRIA,02/11/2021,21/11/2021,08:00,08:00," Renegade, Nivus, T-cross 1.0 TSI ou Similar ",254.74
29,CGH,2021-10-27 20:21:20.475353,GRUPO JC - MOVIDA CARGO,02/11/2021,21/11/2021,08:00,08:00," Doblo Cargo, ou similar ",227.47
30,CGH,2021-10-27 20:21:20.475353,GRUPO MJ - FURGÃO PREMIUM,02/11/2021,21/11/2021,08:00,08:00," Expert, Jumpy ou Similar ",435.57
31,CGH,2021-10-27 20:21:20.475353,GRUPO MR - FURGÃO PREMIUM,02/11/2021,21/11/2021,08:00,08:00," Boxer, Jumper ou Similar ",531.86
32,CGH,2021-10-27 20:21:20.475353,GRUPO QX - EXECUTIVO AUTOMÁTICO,02/11/2021,21/11/2021,08:00,08:00," Cruze sedan/Hatch, Jetta, Corolla, e Similar ",430.09
33,CGH,2021-10-27 20:21:20.475353,GRUPO SX - CAMINHONETE 4X4,02/11/2021,21/11/2021,08:00,08:00, Toro ou Similar (Mec e Aut) ,614.36
34,CGH,2021-10-27 20:21:20.849126,GRUPO AX - MOVIDA ON,03/11/2021,22/11/2021,08:00,08:00, Mobi Like ou similar ,107.35
35,CGH,2021-10-27 20:21:20.849126,GRUPO B - ECONÔMICO,03/11/2021,22/11/2021,08:00,08:00," Uno, Onix, Gol, Argo, ou similar ",122.85
36,CGH,2021-10-27 20:21:20.849126,GRUPO BS - ECONÔMICO SEDAN,03/11/2021,22/11/2021,08:00,08:00," Logan, Versa, Onix Plus ou Similar ",134.98
37,CGH,2021-10-27 20:21:20.849126,GRUPO BX - ECONÔMICO PLUS,03/11/2021,22/11/2021,08:00,08:00, HB20 ou Similar ,124.59
38,CGH,2021-10-27 20:21:20.849126,GRUPO C - COMPACTO,03/11/2021,22/11/2021,08:00,08:00," Gol, Sandero, 208, HB20, ou similar ",136.53
39,CGH,2021-10-27 20:21:20.849126,GRUPO D - HATCH AUTOMÁTICO,03/11/2021,22/11/2021,08:00,08:00," HB20, Polo, Sandero, ou similar ",143.45
40,CGH,2021-10-27 20:21:20.849126,GRUPO F - SEDAN COMPACTO S,03/11/2021,22/11/2021,08:00,08:00," Voyage, Virtus, KA+, ou similar ",145.65
41,CGH,2021-10-27 20:21:20.849126,GRUPO FX - SEDAN AUTOMÁTICO,03/11/2021,22/11/2021,08:00,08:00," HB20S, Versa, Onix ou Similar ",185.13
42,CGH,2021-10-27 20:21:20.849126,GRUPO G - SUV MANUAL,03/11/2021,22/11/2021,08:00,08:00, Duster ou similar  ,191.2
43,CGH,2021-10-27 20:21:20.849126,GRUPO H - SUV AUTOMÁTICA,03/11/2021,22/11/2021,08:00,08:00," C4, 2008, Duster ou similar ",195.52
44,CGH,2021-10-27 20:21:20.849126,GRUPO HN - NOVO NISSAN KICKS,03/11/2021,22/11/2021,08:00,08:00, Novo Nissan Kicks ou similar ,304.87
45,CGH,2021-10-27 20:21:20.849126,GRUPO HW - SUV AUTOMÁTICA INTERMEDIÁRIA,03/11/2021,22/11/2021,08:00,08:00," Renegade, Nivus, T-cross 1.0 TSI ou Similar ",213.71
46,CGH,2021-10-27 20:21:20.849126,GRUPO HX - SUV AUTOMÁTICA PLUS,03/11/2021,22/11/2021,08:00,08:00," Creta, T-cross ou Similar ",276.29
47,CGH,2021-10-27 20:21:20.849126,GRUPO JC - MOVIDA CARGO,03/11/2021,22/11/2021,08:00,08:00," Doblo Cargo, ou similar ",180.9
48,CGH,2021-10-27 20:21:20.849126,GRUPO MJ - FURGÃO PREMIUM,03/11/2021,22/11/2021,08:00,08:00," Expert, Jumpy ou Similar ",367.59
49,CGH,2021-10-27 20:21:20.849126,GRUPO MR - FURGÃO PREMIUM,03/11/2021,22/11/2021,08:00,08:00," Boxer, Jumper ou Similar ",475.33
50,CGH,2021-10-27 20:21:20.849126,GRUPO QX - EXECUTIVO AUTOMÁTICO,03/11/2021,22/11/2021,08:00,08:00," Cruze sedan/Hatch, Jetta, Corolla, e Similar ",377.62
51,CGH,2021-10-27 20:21:20.849126,GRUPO SX - CAMINHONETE 4X4,03/11/2021,22/11/2021,08:00,08:00, Toro ou Similar (Mec e Aut) ,561.89
52,CGH,2021-10-27 20:21:30.286419,GRUPO AX - MOVIDA ON,04/11/2021,23/11/2021,08:00,08:00, Mobi Like ou similar ,107.35
53,CGH,2021-10-27 20:21:30.286419,GRUPO B - ECONÔMICO,04/11/2021,23/11/2021,08:00,08:00," Uno, Onix, Gol, Argo, ou similar ",122.85
54,CGH,2021-10-27 20:21:30.286419,GRUPO BS - ECONÔMICO SEDAN,04/11/2021,23/11/2021,08:00,08:00," Logan, Versa, Onix Plus ou Similar ",134.98
55,CGH,2021-10-27 20:21:30.286419,GRUPO BX - ECONÔMICO PLUS,04/11/2021,23/11/2021,08:00,08:00, HB20 ou Similar ,124.59
56,CGH,2021-10-27 20:21:30.286419,GRUPO C - COMPACTO,04/11/2021,23/11/2021,08:00,08:00," Gol, Sandero, 208, HB20, ou similar ",136.53
57,CGH,2021-10-27 20:21:30.286419,GRUPO D - HATCH AUTOMÁTICO,04/11/2021,23/11/2021,08:00,08:00," HB20, Polo, Sandero, ou similar ",143.45
58,CGH,2021-10-27 20:21:30.286419,GRUPO F - SEDAN COMPACTO S,04/11/2021,23/11/2021,08:00,08:00," Voyage, Virtus, KA+, ou similar ",145.65
59,CGH,2021-10-27 20:21:30.286419,GRUPO FX - SEDAN AUTOMÁTICO,04/11/2021,23/11/2021,08:00,08:00," HB20S, Versa, Onix ou Similar ",185.13
60,CGH,2021-10-27 20:21:30.286419,GRUPO G - SUV MANUAL,04/11/2021,23/11/2021,08:00,08:00, Duster ou similar  ,191.2
61,CGH,2021-10-27 20:21:30.286419,GRUPO H - SUV AUTOMÁTICA,04/11/2021,23/11/2021,08:00,08:00," C4, 2008, Duster ou similar ",195.52
62,CGH,2021-10-27 20:21:30.286419,GRUPO HN - NOVO NISSAN KICKS,04/11/2021,23/11/2021,08:00,08:00, Novo Nissan Kicks ou similar ,304.87
63,CGH,2021-10-27 20:21:30.286419,GRUPO HW - SUV AUTOMÁTICA INTERMEDIÁRIA,04/11/2021,23/11/2021,08:00,08:00," Renegade, Nivus, T-cross 1.0 TSI ou Similar ",213.71
64,CGH,2021-10-27 20:21:30.286419,GRUPO HX - SUV AUTOMÁTICA PLUS,04/11/2021,23/11/2021,08:00,08:00," Creta, T-cross ou Similar ",276.29
65,CGH,2021-10-27 20:21:30.286419,GRUPO JC - MOVIDA CARGO,04/11/2021,23/11/2021,08:00,08:00," Doblo Cargo, ou similar ",180.9
66,CGH,2021-10-27 20:21:30.286419,GRUPO MJ - FURGÃO PREMIUM,04/11/2021,23/11/2021,08:00,08:00," Expert, Jumpy ou Similar ",367.59
67,CGH,2021-10-27 20:21:30.286419,GRUPO MR - FURGÃO PREMIUM,04/11/2021,23/11/2021,08:00,08:00," Boxer, Jumper ou Similar ",475.33
68,CGH,2021-10-27 20:21:30.286419,GRUPO QX - EXECUTIVO AUTOMÁTICO,04/11/2021,23/11/2021,08:00,08:00," Cruze sedan/Hatch, Jetta, Corolla, e Similar ",377.62
69,CGH,2021-10-27 20:21:30.286419,GRUPO SX - CAMINHONETE 4X4,04/11/2021,23/11/2021,08:00,08:00, Toro ou Similar (Mec e Aut) ,561.89
70,CGH,2021-10-27 20:22:05.574765,GRUPO AX - MOVIDA ON,05/11/2021,24/11/2021,08:00,08:00, Mobi Like ou similar ,135.21
71,CGH,2021-10-27 20:22:05.574765,GRUPO B - ECONÔMICO,05/11/2021,24/11/2021,08:00,08:00," Uno, Onix, Gol, Argo, ou similar ",154.35
72,CGH,2021-10-27 20:22:05.574765,GRUPO BS - ECONÔMICO SEDAN,05/11/2021,24/11/2021,08:00,08:00," Logan, Versa, Onix Plus ou Similar ",169.06
73,CGH,2021-10-27 20:22:05.574765,GRUPO BX - ECONÔMICO PLUS,05/11/2021,24/11/2021,08:00,08:00, HB20 ou Similar ,156.07
74,CGH,2021-10-27 20:22:05.574765,GRUPO C - COMPACTO,05/11/2021,24/11/2021,08:00,08:00," Gol, Sandero, 208, HB20, ou similar ",172.58
75,CGH,2021-10-27 20:22:05.574765,GRUPO D - HATCH AUTOMÁTICO,05/11/2021,24/11/2021,08:00,08:00," HB20, Polo, Sandero, ou similar ",179.51
76,CGH,2021-10-27 20:22:05.574765,GRUPO F - SEDAN COMPACTO S,05/11/2021,24/11/2021,08:00,08:00," Voyage, Virtus, KA+, ou similar ",183.52
77,CGH,2021-10-27 20:22:05.574765,GRUPO FX - SEDAN AUTOMÁTICO,05/11/2021,24/11/2021,08:00,08:00," HB20S, Versa, Onix ou Similar ",216.63
78,CGH,2021-10-27 20:22:05.574765,GRUPO G - SUV MANUAL,05/11/2021,24/11/2021,08:00,08:00, Duster ou similar  ,232.22
79,CGH,2021-10-27 20:22:05.574765,GRUPO H - SUV AUTOMÁTICA,05/11/2021,24/11/2021,08:00,08:00," C4, 2008, Duster ou similar ",236.55
80,CGH,2021-10-27 20:22:05.574765,GRUPO HN - NOVO NISSAN KICKS,05/11/2021,24/11/2021,08:00,08:00, Novo Nissan Kicks ou similar ,357.34
81,CGH,2021-10-27 20:22:05.574765,GRUPO HW - SUV AUTOMÁTICA INTERMEDIÁRIA,05/11/2021,24/11/2021,08:00,08:00," Renegade, Nivus, T-cross 1.0 TSI ou Similar ",254.74
82,CGH,2021-10-27 20:22:05.574765,GRUPO HX - SUV AUTOMÁTICA PLUS,05/11/2021,24/11/2021,08:00,08:00," Creta, T-cross ou Similar ",328.76
83,CGH,2021-10-27 20:22:05.574765,GRUPO JC - MOVIDA CARGO,05/11/2021,24/11/2021,08:00,08:00," Doblo Cargo, ou similar ",227.47
84,CGH,2021-10-27 20:22:05.574765,GRUPO MJ - FURGÃO PREMIUM,05/11/2021,24/11/2021,08:00,08:00," Expert, Jumpy ou Similar ",435.57
85,CGH,2021-10-27 20:22:05.574765,GRUPO MR - FURGÃO PREMIUM,05/11/2021,24/11/2021,08:00,08:00," Boxer, Jumper ou Similar ",531.86
86,CGH,2021-10-27 20:22:05.574765,GRUPO QX - EXECUTIVO AUTOMÁTICO,05/11/2021,24/11/2021,08:00,08:00," Cruze sedan/Hatch, Jetta, Corolla, e Similar ",430.09
87,CGH,2021-10-27 20:22:05.574765,GRUPO SX - CAMINHONETE 4X4,05/11/2021,24/11/2021,08:00,08:00, Toro ou Similar (Mec e Aut) ,614.36
88,CGH,2021-10-28 12:16:47.587324,GRUPO AX - MOVIDA ON,03/11/2021,18/11/2021,08:00,08:00, Mobi Like ou similar ,107.35
89,CGH,2021-10-28 12:16:47.587324,GRUPO B - ECONÔMICO,03/11/2021,18/11/2021,08:00,08:00," Uno, Onix, Gol, Argo, ou similar ",122.85
90,CGH,2021-10-28 12:16:47.587324,GRUPO BS - ECONÔMICO SEDAN,03/11/2021,18/11/2021,08:00,08:00," Logan, Versa, Onix Plus ou Similar ",134.98
91,CGH,2021-10-28 12:16:47.587324,GRUPO BX - ECONÔMICO PLUS,03/11/2021,18/11/2021,08:00,08:00, HB20 ou Similar ,124.59
92,CGH,2021-10-28 12:16:47.587324,GRUPO C - COMPACTO,03/11/2021,18/11/2021,08:00,08:00," Gol, Sandero, 208, HB20, ou similar ",136.53
93,CGH,2021-10-28 12:16:47.587324,GRUPO D - HATCH AUTOMÁTICO,03/11/2021,18/11/2021,08:00,08:00," HB20, Polo, Sandero, ou similar ",143.45
94,CGH,2021-10-28 12:16:47.587324,GRUPO F - SEDAN COMPACTO S,03/11/2021,18/11/2021,08:00,08:00," Voyage, Virtus, KA+, ou similar ",145.65
95,CGH,2021-10-28 12:16:47.587324,GRUPO FX - SEDAN AUTOMÁTICO,03/11/2021,18/11/2021,08:00,08:00," HB20S, Versa, Onix ou Similar ",185.13
96,CGH,2021-10-28 12:16:47.587324,GRUPO G - SUV MANUAL,03/11/2021,18/11/2021,08:00,08:00, Duster ou similar  ,191.2
97,CGH,2021-10-28 12:16:47.587324,GRUPO H - SUV AUTOMÁTICA,03/11/2021,18/11/2021,08:00,08:00," C4, 2008, Duster ou similar ",195.52
98,CGH,2021-10-28 12:16:47.587324,GRUPO HN - NOVO NISSAN KICKS,03/11/2021,18/11/2021,08:00,08:00, Novo Nissan Kicks ou similar ,304.87
99,CGH,2021-10-28 12:16:47.587324,GRUPO HW - SUV AUTOMÁTICA INTERMEDIÁRIA,03/11/2021,18/11/2021,08:00,08:00," Renegade, Nivus, T-cross 1.0 TSI ou Similar ",213.71
100,CGH,2021-10-28 12:16:47.587324,GRUPO HX - SUV AUTOMÁTICA PLUS,03/11/2021,18/11/2021,08:00,08:00," Creta, T-cross ou Similar ",276.29
101,CGH,2021-10-28 12:16:47.587324,GRUPO JC - MOVIDA CARGO,03/11/2021,18/11/2021,08:00,08:00," Doblo Cargo, ou similar ",180.9
102,CGH,2021-10-28 12:16:47.587324,GRUPO MJ - FURGÃO PREMIUM,03/11/2021,18/11/2021,08:00,08:00," Expert, Jumpy ou Similar ",367.59
103,CGH,2021-10-28 12:16:47.587324,GRUPO MR - FURGÃO PREMIUM,03/11/2021,18/11/2021,08:00,08:00," Boxer, Jumper ou Similar ",475.33
104,CGH,2021-10-28 12:16:47.587324,GRUPO QX - EXECUTIVO AUTOMÁTICO,03/11/2021,18/11/2021,08:00,08:00," Cruze sedan/Hatch, Jetta, Corolla, e Similar ",377.62
105,CGH,2021-10-28 12:16:47.587324,GRUPO SX - CAMINHONETE 4X4,03/11/2021,18/11/2021,08:00,08:00, Toro ou Similar (Mec e Aut) ,561.89
106,GRU,2021-10-28 12:16:47.918940,GRUPO AX - MOVIDA ON,03/11/2021,18/11/2021,08:00,08:00, Mobi Like ou similar ,128.96
107,GRU,2021-10-28 12:16:47.918940,GRUPO B - ECONÔMICO,03/11/2021,18/11/2021,08:00,08:00," Uno, Onix, Gol, Argo, ou similar ",139.89
108,GRU,2021-10-28 12:16:47.918940,GRUPO BS - ECONÔMICO SEDAN,03/11/2021,18/11/2021,08:00,08:00," Logan, Versa, Onix Plus ou Similar ",150.29
109,GRU,2021-10-28 12:16:47.918940,GRUPO BX - ECONÔMICO PLUS,03/11/2021,18/11/2021,08:00,08:00, HB20 ou Similar ,141.63
110,GRU,2021-10-28 12:16:47.918940,GRUPO C - COMPACTO,03/11/2021,18/11/2021,08:00,08:00," Gol, Sandero, 208, HB20, ou similar ",148.1
111,GRU,2021-10-28 12:16:47.918940,GRUPO D - HATCH AUTOMÁTICO,03/11/2021,18/11/2021,08:00,08:00," HB20, Polo, Sandero, ou similar ",155.03
112,GRU,2021-10-28 12:16:47.918940,GRUPO F - SEDAN COMPACTO S,03/11/2021,18/11/2021,08:00,08:00," Voyage, Virtus, KA+, ou similar ",156.31
113,GRU,2021-10-28 12:16:47.918940,GRUPO FX - SEDAN AUTOMÁTICO,03/11/2021,18/11/2021,08:00,08:00," HB20S, Versa, Onix ou Similar ",203.09
114,GRU,2021-10-28 12:16:47.918940,GRUPO G - SUV MANUAL,03/11/2021,18/11/2021,08:00,08:00, Duster ou similar  ,228.21
115,GRU,2021-10-28 12:16:47.918940,GRUPO H - SUV AUTOMÁTICA,03/11/2021,18/11/2021,08:00,08:00," C4, 2008, Duster ou similar ",232.54
116,GRU,2021-10-28 12:16:47.918940,GRUPO HN - NOVO NISSAN KICKS,03/11/2021,18/11/2021,08:00,08:00, Novo Nissan Kicks ou similar ,302.78
117,GRU,2021-10-28 12:16:47.918940,GRUPO HW - SUV AUTOMÁTICA INTERMEDIÁRIA,03/11/2021,18/11/2021,08:00,08:00," Renegade, Nivus, T-cross 1.0 TSI ou Similar ",250.73
118,GRU,2021-10-28 12:16:47.918940,GRUPO HX - SUV AUTOMÁTICA PLUS,03/11/2021,18/11/2021,08:00,08:00," Creta, T-cross ou Similar ",274.2
119,GRU,2021-10-28 12:16:47.918940,GRUPO J - MINIVAN,03/11/2021,18/11/2021,08:00,08:00," Doblo Passeio, Spin ou similar ",193.97
120,GRU,2021-10-28 12:16:47.918940,GRUPO JC - MOVIDA CARGO,03/11/2021,18/11/2021,08:00,08:00," Doblo Cargo, ou similar ",208.81
121,GRU,2021-10-28 12:16:47.918940,GRUPO KX - SUV PREMIUM 7 Lugares,03/11/2021,18/11/2021,08:00,08:00," Tiguan 7L, Tiggo 8 7L ou similar ",630.79
122,GRU,2021-10-28 12:16:47.918940,GRUPO MJ - FURGÃO PREMIUM,03/11/2021,18/11/2021,08:00,08:00," Expert, Jumpy ou Similar ",427.08
123,GRU,2021-10-28 12:16:47.918940,GRUPO SX - CAMINHONETE 4X4,03/11/2021,18/11/2021,08:00,08:00, Toro ou Similar (Mec e Aut) ,559.8
124,GRU,2021-10-28 12:16:47.918940,GRUPO XE - EXECUTIVO ELÉTRICO,03/11/2021,18/11/2021,08:00,08:00, LEAF ou similar ,357.8
125,CGH,2021-10-28 12:16:41.773344,GRUPO AX - MOVIDA ON,31/10/2021,10/11/2021,08:00,08:00, Mobi Like ou similar ,211.56
126,CGH,2021-10-28 12:16:41.773344,GRUPO B - ECONÔMICO,31/10/2021,10/11/2021,08:00,08:00," Uno, Onix, Gol, Argo, ou similar ",233.43
127,CGH,2021-10-28 12:16:41.773344,GRUPO BS - ECONÔMICO SEDAN,31/10/2021,10/11/2021,08:00,08:00," Logan, Versa, Onix Plus ou Similar ",253.13
128,CGH,2021-10-28 12:16:41.773344,GRUPO BX - ECONÔMICO PLUS,31/10/2021,10/11/2021,08:00,08:00, HB20 ou Similar ,235.17
129,CGH,2021-10-28 12:16:41.773344,GRUPO C - COMPACTO,31/10/2021,10/11/2021,08:00,08:00," Gol, Sandero, 208, HB20, ou similar ",251.68
130,CGH,2021-10-28 12:16:41.773344,GRUPO D - HATCH AUTOMÁTICO,31/10/2021,10/11/2021,08:00,08:00," HB20, Polo, Sandero, ou similar ",264.66
131,CGH,2021-10-28 12:16:41.773344,GRUPO F - SEDAN COMPACTO S,31/10/2021,10/11/2021,08:00,08:00," Voyage, Virtus, KA+, ou similar ",263.52
132,CGH,2021-10-28 12:16:41.773344,GRUPO FX - SEDAN AUTOMÁTICO,31/10/2021,10/11/2021,08:00,08:00," HB20S, Versa, Onix ou Similar ",300.27
133,CGH,2021-10-28 12:16:41.773344,GRUPO H - SUV AUTOMÁTICA,31/10/2021,10/11/2021,08:00,08:00," C4, 2008, Duster ou similar ",329.72
134,CGH,2021-10-28 12:16:41.773344,GRUPO HN - NOVO NISSAN KICKS,31/10/2021,10/11/2021,08:00,08:00, Novo Nissan Kicks ou similar ,463.79
135,CGH,2021-10-28 12:16:41.773344,GRUPO HW - SUV AUTOMÁTICA INTERMEDIÁRIA,31/10/2021,10/11/2021,08:00,08:00," Renegade, Nivus, T-cross 1.0 TSI ou Similar ",347.91
136,CGH,2021-10-28 12:16:41.773344,GRUPO JC - MOVIDA CARGO,31/10/2021,10/11/2021,08:00,08:00," Doblo Cargo, ou similar ",463.12
137,CGH,2021-10-28 12:16:41.773344,GRUPO MJ - FURGÃO PREMIUM,31/10/2021,10/11/2021,08:00,08:00," Expert, Jumpy ou Similar ",529.23
138,CGH,2021-10-28 12:16:41.773344,GRUPO MR - FURGÃO PREMIUM,31/10/2021,10/11/2021,08:00,08:00," Boxer, Jumper ou Similar ",560.73
139,CGH,2021-10-28 12:16:41.773344,GRUPO QX - EXECUTIVO AUTOMÁTICO,31/10/2021,10/11/2021,08:00,08:00," Cruze sedan/Hatch, Jetta, Corolla, e Similar ",524.41
140,GRU,2021-10-28 12:16:47.948080,GRUPO AX - MOVIDA ON,31/10/2021,10/11/2021,08:00,08:00, Mobi Like ou similar ,177.46
141,GRU,2021-10-28 12:16:47.948080,GRUPO B - ECONÔMICO,31/10/2021,10/11/2021,08:00,08:00," Uno, Onix, Gol, Argo, ou similar ",202.08
142,GRU,2021-10-28 12:16:47.948080,GRUPO BS - ECONÔMICO SEDAN,31/10/2021,10/11/2021,08:00,08:00," Logan, Versa, Onix Plus ou Similar ",216.8
143,GRU,2021-10-28 12:16:47.948080,GRUPO BX - ECONÔMICO PLUS,31/10/2021,10/11/2021,08:00,08:00, HB20 ou Similar ,203.82
144,GRU,2021-10-28 12:16:47.948080,GRUPO C - COMPACTO,31/10/2021,10/11/2021,08:00,08:00," Gol, Sandero, 208, HB20, ou similar ",234.13
145,GRU,2021-10-28 12:16:47.948080,GRUPO D - HATCH AUTOMÁTICO,31/10/2021,10/11/2021,08:00,08:00," HB20, Polo, Sandero, ou similar ",247.12
146,GRU,2021-10-28 12:16:47.948080,GRUPO F - SEDAN COMPACTO S,31/10/2021,10/11/2021,08:00,08:00," Voyage, Virtus, KA+, ou similar ",232.65
147,GRU,2021-10-28 12:16:47.948080,GRUPO G - SUV MANUAL,31/10/2021,10/11/2021,08:00,08:00, Duster ou similar ,219.56
148,GRU,2021-10-28 12:16:47.948080,GRUPO H - SUV AUTOMÁTICA,31/10/2021,10/11/2021,08:00,08:00," C4, 2008, Duster ou similar ",223.89
149,GRU,2021-10-28 12:16:47.948080,GRUPO HN - NOVO NISSAN KICKS,31/10/2021,10/11/2021,08:00,08:00, Novo Nissan Kicks ou similar ,427.86
150,GRU,2021-10-28 12:16:47.948080,GRUPO HW - SUV AUTOMÁTICA INTERMEDIÁRIA,31/10/2021,10/11/2021,08:00,08:00," Renegade, Nivus, T-cross 1.0 TSI ou Similar ",242.07
151,GRU,2021-10-28 12:16:47.948080,GRUPO HX - SUV AUTOMÁTICA PLUS,31/10/2021,10/11/2021,08:00,08:00," Creta, T-cross ou Similar ",399.27
152,GRU,2021-10-28 12:16:47.948080,GRUPO J - MINIVAN,31/10/2021,10/11/2021,08:00,08:00," Doblo Passeio, Spin ou similar ",423.25
153,GRU,2021-10-28 12:16:47.948080,GRUPO JC - MOVIDA CARGO,31/10/2021,10/11/2021,08:00,08:00," Doblo Cargo, ou similar ",463.12
154,GRU,2021-10-28 12:16:47.948080,GRUPO K - MINIVAN AUTOMÁTICA,31/10/2021,10/11/2021,08:00,08:00, Spin ou similar ,440.57
155,GRU,2021-10-28 12:16:47.948080,GRUPO KX - SUV PREMIUM 7 Lugares,31/10/2021,10/11/2021,08:00,08:00," Tiguan 7L, Tiggo 8 7L ou similar ",853.69
156,GRU,2021-10-28 12:16:47.948080,GRUPO MJ - FURGÃO PREMIUM,31/10/2021,10/11/2021,08:00,08:00," Expert, Jumpy ou Similar ",517.02
157,GRU,2021-10-28 12:16:47.948080,GRUPO SX - CAMINHONETE 4X4,31/10/2021,10/11/2021,08:00,08:00, Toro ou Similar (Mec e Aut) ,1126.29
158,GRU,2021-10-28 12:16:47.948080,GRUPO XE - EXECUTIVO ELÉTRICO,31/10/2021,10/11/2021,08:00,08:00, LEAF ou similar ,333.54
